пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
3681;55618761;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 11 кл. (Дрофа);Просвещение;978-5-09-087689-6;12; ;2020-2022;ФП;ФГОС;861.3;;861.3
3682;55618766;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 11 кл. Рабочая тетрадь (Дрофа);Просвещение/Союз;978-5-09-087070-2;20; ;2020-2021; ;ФГОС;255.2;;229.7
3683;55622302;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 5 кл. (Дрофа);Просвещение;978-5-358-23284-6;12; ;2020;ФП;ФГОС;861.3;;861.3
3684;55618763;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 5 кл. Рабочая тетрадь (Дрофа);Просвещение;978-5-09-089974-1;20; ;2021-2022; ;ФГОС;255.2;;229.7
3685;55622390;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 6 кл. (Дрофа);Просвещение;978-5-09-087696-4;10; ;2022;ФП;ФГОС;861.3;;861.3
3686;55618764;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 6 кл. Рабочая тетрадь (Дрофа);Просвещение;978-5-09-089975-8;20; ;2022; ;ФГОС;255.2;;229.7
3687;55614421;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 7 кл. (Дрофа);Просвещение;978-5-09-087695-7;15; ;2022;ФП;ФГОС;861.3;;861.3
3688;55613815;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 7 кл. Рабочая тетрадь (Дрофа);Просвещение;978-5-09-089976-5;30; ;2021-2022; ;ФГОС;255.2;;229.7
3689;55618765;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 8 кл. (Дрофа);Просвещение;978-5-09-088567-6;12; ;2020-2021;ФП;ФГОС;861.3;;861.3
3690;55614073;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 8 кл. Рабочая тетрадь (Дрофа);Дрофа;978-5-09-089977-2;25; ;2022; ;ФГОС;255.2;;229.7
3691;55614075;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 9 кл. (Дрофа);Просвещение;978-5-358-23286-0;12; ;2020;ФП;ФГОС;861.3;;861.3
3692;55614074;Биболетова М.З.;Биболетова Английский с удовольствием (Enjoy English) 9 кл. Рабочая тетрадь (Дрофа);Дрофа;978-5-358-19965-1;30; ;2019; ;ФГОС;150;;135
3693;55624108;Ван Луся, Дёмчева Н.В.;Ван Луся Китайский язык. 7 кл. Прописи  (АСТ);Дрофа;978-5-358-21072-1;25; ;2019; ; ;142;;127.8
3694;55624106;Ван Луся, Дёмчева Н.В.;Ван Луся Китайский язык. 7 кл. Раб. тетрадь. Ч.1  (АСТ);Дрофа;978-5-358-19037-5;18; ;2019; ; ;287;;258.3
3695;55588152;Гальскова Н.Д., Гез Н.И.;Гальскова. Нем. язык. 2кл., раб. тетр.  ч. 1 РИТМ  (ДРОФА);Дрофа;978-5-358-22509-1;40; ;2019; ; ;92.4;;92.4
3696;14468;Гальскова Н.Д., Гез Н.И.;Гальскова. Немецкий язык Рабочая тетрадь 3кл. РИТМ (ДРОФА);Дрофа;978-5-358-2414-9;50; ;2019; ; ;139;;125.1
3697;55629718;Купалова А.Ю.;Бабайцева Купалова Русский язык 5кл. Практика ВЕРТИКАЛЬ ФГОС (ДРОФА);Дрофа;978-5-09-088266-8;10; ;2020-2022;ФП;ФГОС;603.9;;603.9
3698;55560562;Купалова А.Ю.;Бабайцева Купалова Русский язык 5кл. Рабочая тетрадь с тест. зад. ЕГЭ ВЕРТИКАЛЬ ФГОС (ДРОФА);Дрофа;978-5-358-20201-6;15; ;2018; ;ФГОС;194;;174.6
3699;55601410;Пименова С.Н.;Бабайцева Купалова Русский язык 5кл. Тетр./оц.кач.знаний ВЕРТИКАЛЬ. (ФГОС)(ДРОФА);Дрофа;978-5-358-16640-0;40;55560562;2016; ;ФГОС;32.1;;32.1
3700;55602670;Пименова С.Н.;Бабайцева Лидман-Орлова  Русский язык 6кл. Тетр./оц.кач.знаний ВЕРТИКАЛЬ. (ФГОС)(ДРОФА);Дрофа;978-5-358-18739-9;14; ;2017; ;ФГОС;79.1;;79.1
3701;55630423;Лидман-Орлова Г.К.;Бабайцева Лидман-Орлова Русский язык 6кл. Практика  ВЕРТИКАЛЬ ФГОС (ДРОФА);Дрофа;978-5-09-088573-7;16; ;2022;ФП;ФГОС;603.9;;603.9
3702;65649027;Никитина Е.И.;Бабайцева Никитина Русская речь 5 кл. Учебник ВЕРТИКАЛЬ (ФГОС) ( ДРОФА );Дрофа;978-5-09-079380-3;10; ;2021;ФП;ФГОС;603.9;;603.9
3703;65649028;Никитина Е.И.;Бабайцева Никитина Русская речь 6 кл. ( ДРОФА );Дрофа;978-5-09-079382-7;20; ;2021;ФП;ФГОС;603.9;;603.9
3704;55607646;Никитина Е.И.;Бабайцева Никитина Русская речь 7кл. ВЕРТИКАЛЬ ФГОС (ДРОФА);Дрофа;978-5-358-18124-3;24; ;2018-2020;ФП;ФГОС;482.9;;482.9
3705;65681350;Никитина Е.И.;Бабайцева Никитина Русская речь 7кл. ВЕРТИКАЛЬ ФГОС (ДРОФА);Просвещение;978-5-09-090996-9;28; ;2022;ФП;ФГОС;603.9;;603.9
3706;55608588;Никитина Е.И.;Бабайцева Никитина Русская речь 8 кл. ВЕРТИКАЛЬ ФГОС (ДРОФА);Дрофа;978-5-358-17694-2;16; ;2020;ФП;ФГОС;603.9;;603.9
3707;55608806;Никитина Е.И.;Бабайцева Никитина Русская речь 9 кл. ВЕРТИКАЛЬ ФГОС (ДРОФА);Дрофа;978-5-358-17967-7;16; ;2019-2020;ФП;ФГОС;603.9;;603.9
3708;65672033;Пименова С.Н., Еремеева А.П., Купалова А.Ю.;Бабайцева Пименова Русский язык 7кл.  Практика  ВЕРТИКАЛЬ ФГОС (ДРОФА);Просвещение;978-5-09-080903-0;18;55607647;2021;ФП;ФГОС;603.9;;603.9
