пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
1;65658559;Александрова О.М., Кузнецова М.И., Романова В.Ю. и;Александрова Литературное чтение на родном русском языке. 1 класс. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-090525-1;12; ;2021-2022; ; ;704.6;;669.4
2;65663232;Александрова О.М., Беляева Н. В., Кузнецова М.И. и;Александрова Литературное чтение на родном русском языке. 2 класс. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-090526-8;16; ;2022; ; ;704.6;;669.4
3;65663233;Александрова О.М., Беляева Н. В., Кузнецова М.И.,;Александрова Литературное чтение на родном русском языке. 3 класс. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-094467-0;12; ;2021; ; ;704.6;;669.4
4;65663234;Александрова О.М., Беляева Н. В., Кузнецова М.И.,;Александрова Литературное чтение на родном русском языке. 4 класс. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-090527-5;20; ;2022; ; ;704.6;;669.4
5;65655618;Александрова О. М., Кузнецова М. И., Петленко Л. В;Александрова Русский родной язык  1-4 класс. Примерные рабочие программы (Просв.);Просвещение;978-5-09-088088-6;40; ;2022; ;ФГОС;119.9;;114
6;65678317;Александрова М., М.И. Кузнецова, Л.В. Петленко, В.;Александрова Русский родной язык 1 класс. Практикум (Просв.);Просвещение;978-5-09-090733-0;20; ;2022; ;ФГОС; ;; 
7;65647520;Александрова О.М. и др.;Александрова Русский родной язык 1 класс. Учебник (Просв.);Просвещение;978-5-09-088089-3;20; ;2021-2022;ФП;ФГОС;727.7;;727.7
8;65678318;Александрова М., М.И. Кузнецова, Л.В. Петленко, В.;Александрова Русский родной язык 2 класс. Практикум (Просв.);Просвещение; ;20; ;2022; ;ФГОС; ;; 
9;65647521;Александрова О.М. и др.;Александрова Русский родной язык 2 класс. Учебник (Просв.);Просвещение;978-5-09-087896-8;18; ;2021-2022;ФП;ФГОС;727.7;;727.7
10;65647522;Александрова О.М. и др.;Александрова Русский родной язык 3 класс. Учебник (Просв.);Просвещение;978-5-09-087898-2;14; ;2021-2022;ФП;ФГОС;727.7;;727.7
11;65647523;Александрова О.М. и др.;Александрова Русский родной язык 4 класс. Учебник (Просв.);Просвещение;978-5-09-077761-2;16; ;2021;ФП;ФГОС;727.7;;727.7
12;55639975;Анастасова Л.П., Ижевский П.В., Иванова Н.В.;"Анастасова (Перспектива) ОБЖ 1 кл. Рабочая тетрадь(ФП2019 ""ИП"")  (Просв.)";Просвещение/Союз;978-5-09-079314-8;20;55588166;2021; ;ФГОС;244.2;;232
13;55588167;Анастасова Л.П., Ижевский П.В., Иванова Н.В.;"Анастасова (Перспектива) ОБЖ 2 кл. Р/Т (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-078585-3;25; ;2021; ;ФГОС;244.2;;232
14;55558556;Ижевский П.В.;"Анастасова (Перспектива) ОБЖ 3 кл. Р/Т(ФП2019 ""ИП"")(Просв.)";Просвещение/Союз;978-5-09-078586-0;30; ;2021; ;ФГОС;244.2;;232
15;55643926;Ижевский П.В.;"Анастасова (Перспектива) ОБЖ 4 кл. Р/Т(ФП2019 ""ИП"") (Просв.)";Просвещение/Союз;978-5-09-078587-7;30; ;2021; ;ФГОС;244.2;;232
16;55585906;Волкова С.И.;"Волкова (Школа России) Матем. и конструирование 1 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090039-3;40; ;2022; ;ФГОС;214.5;;203.8
17;55595057;Волкова С.И.;"Волкова (Школа России) Матем. и конструирование 2 кл.(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-090043-0;40; ;2020-2021; ;ФГОС;213.4;;202.8
18;55639977;Волкова С.И.;"Волкова (Школа России) Матем. и конструирование 3 кл. (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-090047-8;40; ;2022; ;ФГОС;213.4;;202.8
19;55606063;Волкова С.И.;"Волкова (Школа России) Матем. и конструирование 4 кл.(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090053-9;40; ;2021-2022; ;ФГОС;213.4;;202.8
20;55600534;Волкова С.И.;"Волкова (Школа России) Математика 1-4 кл. Контрольные работы (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090036-2;60; ;2021-2022; ;ФГОС;189.8;;180.3
21;55578837;Волкова С.И.;"Волкова (Школа России) Математика 1кл. Тесты (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090037-9;40; ;2022; ;ФГОС;178.2;;169.3
22;55619613;Волкова С.И.;"Волкова (Школа России) Математика 1кл. Тетрадь учебных достижений (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-078099-5;52; ;2020-2021; ;ФГОС;208.5;;198.1
23;55640210;Волкова С.И.;"Волкова (Школа России) Математика 2кл. Тесты(ФП2019 ""ИП"")  (Просв.)";Просвещение;978-5-09-090041-6;66;55640210;2022; ;ФГОС;176;;167.2
24;55639896;Волкова С.И.;"Волкова (Школа России) Математика 2кл. Тетрадь учебных достижений(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090042-3;46; ;2021; ;ФГОС;192;;182.4
25;65646019;Волкова;"Волкова (Школа России) Математика 3кл. Тесты (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090045-4;50;55622541;2021-2022; ; ;178.2;;169.3
26;55622541;Волкова С.И.;Волкова (Школа России) Математика 3кл. Тесты(ФП2014-18)  (Просв.);Просвещение;978-5-09-050756-1;40;65646019;2018; ;ФГОС;28.84;;28.84
27;55622716;Волкова С.И.;"Волкова (Школа России) Математика 3кл. Тетрадь учебных достижений (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090046-1;40; ;2021-2022; ;ФГОС;192;;182.4
28;55622542;Волкова С.И.;Волкова (Школа России) Математика 4кл. Тесты(ФП2014-18)  (Просв.);Просвещение;978-5-09-050758-5;40;55646438;2018; ;ФГОС;28.84;;28.84
29;55646438;Волкова С.И.;"Волкова (Школа России) Математика 4кл. Тесты(ФП2019 ""ИП"")  (Просв.)";Просвещение;978-5-09-087500-4;50;55622542;2021-2022; ;ФГОС;178.2;;169.3
30;55639898;Волкова С.И.;"Волкова (Школа России) Математика 4кл. Тетрадь учебных достижений (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-078483-2;40;55639898;2021; ;ФГОС;192;;182.4
31;55578838;Волкова С.И.;"Волкова (Школа России) Проверочные работы по математике 1 кл (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089164-6;50; ;2021-2022; ;ФГОС;182.1;;173
32;55596270;Волкова С.И.;"Волкова (Школа России) Проверочные работы по математике 2 кл (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089168-4;50; ;2022; ;ФГОС;192;;182.4
33;55595647;Волкова С.И.;"Волкова (Школа России) Проверочные работы по математике 3 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089169-1;40; ;2021-2022; ;ФГОС;192;;182.4
34;55601559;Волкова С.И.;"Волкова (Школа России) Проверочные работы по математике 4 кл (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089170-7;52; ;2021-2022; ;ФГОС;192;;182.4
35;55623615;Сопрунова Н.А., Шноль Д.Э., Сорочан Е.М.;Всероссийские проверочные работы. Математика. Рабочая тетрадь 4 кл. в 2-хч. Ч.1 (Просв.);Просвещение;978-5-09-087502-8;30; ;2022; ;ФГОС;194.2;;184.5
36;55623616;Сопрунова Н.А., Шноль Д.Э., Сорочан Е.М.;Всероссийские проверочные работы. Математика. Рабочая тетрадь 4 кл. в 2-хч. Ч.2 (Просв.);Просвещение;978-5-09-087503-5;30; ;2022; ;ФГОС;194.2;;184.5
37;55621918;Мишняева Е.Ю., Рохлов В.С., Котова О.А.;Всероссийские проверочные работы. Окружающий мир. Рабочая тетрадь 4 кл. в 2-хч. Ч.1 (Просв.);Просвещение;978-5-09-090092-8;26; ;2022; ;ФГОС;173.8;;165.2
38;55621919;Мишняева Е.Ю., Рохлов В.С., Котова О.А.;Всероссийские проверочные работы. Окружающий мир. Рабочая тетрадь 4 кл. в 2-хч. Ч.2 (Просв.);Просвещение;978-5-09-090093-5;26; ;2022; ;ФГОС;173.8;;165.2
39;55626435;Комиссарова Л.Ю.;Всероссийские проверочные работы. Русский язык. Рабочая тетрадь 4 кл.  (Просв.);Просвещение;978-5-09-077210-5;15; ;2021; ;ФГОС;241.5;;229.4
40;55637229;Горецкий В.Г., Кирюшкин В.А., Виноградская Л.А.;"Горецкий (Школа России) Азбука 1 кл. в 2-х ч. Ч.1(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089042-7;12;55588189;2021-2022;ФП; ;514.3;;514.3
41;55637228;Горецкий В.Г., Кирюшкин В.А., Виноградская Л.А.;"Горецкий (Школа России) Азбука 1 кл. в 2-х ч. Ч.2(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089043-4;12;55588190;2021-2022;ФП; ;514.3;;514.3
42;55639608;Игнатьева Т.В.;"Горецкий (Школа России) Обучение грамоте. Тесты 1 класс.  (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-078423-8;60; ;2021; ;ФГОС;150.7;;143.2
43;55639157;Горецкий В.Г., Федосова Н.А.;"Горецкий (Школа России) Прописи к азбуке В четырех частях Ч.1 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089129-5;100;55555753;2021-2022; ;ФГОС;129.3;;122.8
44;55639158;Горецкий В.Г., Федосова Н.А.;"Горецкий (Школа России) Прописи к азбуке В четырех частях Ч.2 (ФП2019 ""ИП"")  (Просв.)";Просвещение;978-5-09-089130-1;100;55555754;2021-2022; ;ФГОС;129.3;;122.8
45;55639159;Горецкий В.Г., Федосова Н.А.;"Горецкий (Школа России) Прописи к азбуке В четырех частях Ч.3 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089131-8;100;55555755;2021-2022; ;ФГОС;129.3;;122.8
46;55639160;Горецкий В.Г., Федосова Н.А.;"Горецкий (Школа России) Прописи к азбуке В четырех частях Ч.4 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089132-5;100;55555756;2021-2022; ;ФГОС;129.3;;122.8
47;65647471;Самойлова М.И.;Горецкий (Школа России) Тренажер по чтению. Букварный период.Формируем навыки чтения. 1 кл.(Просв.);Просвещение/Союз;978-5-09-088999-5;40; ;2021-2022; ;ФГОС;131.5;;124.9
48;55588130;Горяева Н.А., Неменская Л.А., Питерских А.С.;"Горяева ИЗО 3 кл. Искусство вокруг нас  (Неменский) (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-078018-6;20; ;2021;ФП;ФГОС;682.6;;682.6
49;55555759;Горяева Н.А.;"Горяева ИЗО 3 кл. Рабочая тетрадь Твоя мастерская (ред. Неменский) (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090956-3;34; ;2021-2022; ;ФГОС;256.3;;243.5
50;55623669;Рыдзе О.А., Краснянская К.А.;Готовимся к Всероссийской проверочной работе. Математика. Рабочая тетрадь 4 кл. (Просв.);Просвещение;978-5-09-090035-5;16; ;2021-2022; ;ФГОС;194.2;;184.5
51;55623687;Демидова М.Ю.;Готовимся к Всероссийской проверочной работе. Окружающий мир. Рабочая тетрадь 4 кл. (Просв.);Просвещение;978-5-09-090067-6;14; ;2021-2022; ;ФГОС;275;;261.3
52;65646955;Кузнецова М.И., Ковалева Г.С.;Готовимся к Всероссийской проверочной работе. Русский язык. Рабочая тетрадь 4 кл. (Просв.);Просвещение;978-5-09-089510-1;16;55623803;2021-2022; ;ФГОС;203;;192.9
53;55639576;Бука Т.Б.;"Дорофеев (Перспектива) Математика 1 кл. Проверочные работы (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-094463-2;50; ;2021-2022; ;ФГОС;202.4;;192.3
54;55613245;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 1 кл., ч.1. (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-078888-5;16;55639315;2020-2021;ФП;ФГОС;588;;588
55;55613246;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 1 кл., ч.2. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-078889-2;20;55639316;2020-2021;ФП;ФГОС;588;;588
56;55609540;Бука Т.Б.;Дорофеев (Перспектива) Математика 1 кл.Тесты(ФП2014-18)(Просв.);Просвещение;978-5-09-034162-2;60; ;2018; ;ФГОС;26;;26
57;55639980;Бука Т.Б.;"Дорофеев (Перспектива) Математика 1 кл.Тесты(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-088288-0;60;55609540;2022; ;ФГОС;155.7;;147.9
58;55576934;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 1кл. Рабочая тетрадь В двух частях. Часть 1.(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089166-0;16; ;2022; ;ФГОС;252.5;;239.9
59;55576936;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 1кл. Рабочая тетрадь В двух частях. Часть 2.(ФП2019 ""ИП(Просв.)";Просвещение;978-5-09-089167-7;16; ;2022; ;ФГОС;252.5;;239.9
60;55618538;Миракова Т.Н., Никифорова Г.В.;"Дорофеев (Перспектива) Математика 2 кл. Проверочные работы(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-090056-0;50; ;2022; ;ФГОС;200.2;;190.2
61;55642919;Миракова Т.Н.;"Дорофеев (Перспектива) Математика 2 кл. Тесты(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090055-3;50; ;2021-2022; ; ;182.1;;173
62;55588236;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 2 кл., ч.1. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087992-7;15;55603006;2021-2022;ФП;ФГОС;646.3;;646.3
63;55588237;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 2 кл., ч.2. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087991-0;15; ;2022;ФП;ФГОС;646.3;;646.3
64;55576941;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 2кл. в 2-х ч. Р/Т  Ч.1 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090058-4;16; ;2021-2022; ;ФГОС;252.5;;239.9
65;55576942;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 2кл. в 2-х ч. Р/Т Ч.2 (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-090059-1;16; ;2021-2022; ;ФГОС;252.5;;239.9
66;55618877;Миракова Т.Н., Никифорова Г.В.;"Дорофеев (Перспектива) Математика 3 кл. Проверочные работы (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090060-7;60; ;2022; ;ФГОС;200.2;;190.2
67;55583299;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 3 кл. Рабочая тетрадь В двух частях. Часть 1 (ФП2019 ""ИП"" (Просв.)";Просвещение;978-5-09-090063-8;16; ;2021-2022; ;ФГОС;252.5;;239.9
68;55583298;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 3 кл. Рабочая тетрадь В двух частях. Часть 2 (ФП2019 ""ИП"" (Просв.)";Просвещение;978-5-09-090064-5;16; ;2021-2022; ;ФГОС;252.5;;239.9
69;55626464;Миракова Т.Н.;"Дорофеев (Перспектива) Математика 3 кл. Тесты (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090061-4;52; ;2022; ;ФГОС;182.1;;173
70;55579116;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;Дорофеев (Перспектива) Математика 3 кл., ч.1. (ФП2014-18) (Просв.);Просвещение;978-5-09-068127-8;15; ;2019;ФП;ФГОС;108.47;;108.47
71;55640131;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 3 кл., ч.1. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087994-1;20; ;2021-2022;ФП;ФГОС;646.3;;646.3
72;55579117;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;Дорофеев (Перспектива) Математика 3 кл., ч.2.(ФП2014-18) (Просв.);Просвещение;978-5-09-068129-2;15; ;2019;ФП;ФГОС;108.47;;108.47
73;55640139;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 3 кл., ч.2.(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087996-5;20; ;2021-2022;ФП;ФГОС;646.3;;646.3
74;55622355;Никифорова Г.В.;"Дорофеев (Перспектива) Математика 4 кл. Проверочные работы(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090066-9;50; ;2021-2022; ;ФГОС;198;;188.1
75;55584931;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 4 кл. Рабочая тетрадь В двух частях. Часть 1 (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089172-1;16; ;2021-2022; ;ФГОС;252.5;;239.9
76;55584932;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 4 кл. Рабочая тетрадь В двух частях. Часть 2 (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089173-8;16; ;2022; ;ФГОС;252.5;;239.9
77;55633753;Миракова Т.Н.;"Дорофеев (Перспектива) Математика 4 кл. Тесты (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090065-2;20; ;2021-2022; ;ФГОС;170.5;;162
78;55584329;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;Дорофеев (Перспектива) Математика 4 кл. Ч.1,2 (Комплект с электронным приложением) ФГОС (Просв.);Просвещение;978-5-09-034952-9;7;55612448, 55584330;2015;ФП;ФГОС;144;;144
79;55624341;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 4 кл., В двух частях. Часть 1. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077463-5;12; ;2021;ФП;ФГОС;646.3;;646.3
80;55624342;Дорофеев Г.В., Миракова Т.Н., Бука Т.Б.;"Дорофеев (Перспектива) Математика 4 кл., В двух частях. Часть 2. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077464-2;12; ;2021;ФП;ФГОС;646.3;;646.3
81;55587201;Дорофеев Г.В., Миракова Т.Н.;Дорофеев (Перспектива) Математика Примерные раб. программы 1-4 кл. ФГОС (Просв.);Просвещение;978-5-09-019512-6;34; ;2019; ;ФГОС;161.7;;153.7
82;55555775;Илюхина В.А.;"Илюхина (Школа России) Чудо-пропись 1кл в 4-х частях Часть 1 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089135-6;50; ;2021-2022; ;ФГОС;151.8;;144.3
83;55555776;Илюхина В.А.;"Илюхина (Школа России) Чудо-пропись 1кл в 4-х частях Часть 2 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089136-3;50; ;2021-2022; ;ФГОС;151.8;;144.3
84;55555777;Илюхина В.А.;"Илюхина (Школа России) Чудо-пропись 1кл в 4-х частях Часть 3 (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089137-0;50; ;2021-2022; ;ФГОС;151.8;;144.3
85;55555778;Илюхина В.А.;"Илюхина (Школа России) Чудо-пропись 1кл в 4-х частях Часть 4 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089138-7;50; ;2021-2022; ;ФГОС;151.8;;144.3
86;65664041;Сиденко А.Г.;Информационная безопасность, или Как вести себя в Сети. 1-4 классы(Просв.);Просвещение/Союз;978-5-09-076881-8;15; ;2021; ; ;344.3;;327.1
87;55611005;Ишимова О.А., Шаховская С.Н., Алмазова А.А.;Ишимова Логопедическое сопровождение учащихся начальных классов. Письмо. Программно-метод.ма(Просв.);Просвещение;978-5-09-083815-3;25; ;2019-2021; ; ;368;;349.6
88;55610999;Ишимова О.А.;Ишимова Логопедическое сопровождение учащихся начальных классов. Чтение. Программно-методич (Просв.);Просвещение;978-5-09-078514-3;40; ;2021; ;ФГОС;346.5;;329.2
89;55614269;Ишимова О.А., Юсов И.Е.;Ишимова Письмо. Понимаю и различаю текст, предложение, слово. Тетрадь-помощница(Просв.);Просвещение;978-5-09-078512-9;20; ;2021; ;ФГОС;332.2;;315.6
90;55614266;Ишимова О.А., Дерябина Е.В.;Ишимова Письмо. Различаю гласные звуки. Правильно пишу. Тетрадь-помощница (Просв.);Просвещение;978-5-09-077688-2;12; ;2021; ;ФГОС;332.2;;315.6
91;55614267;Ишимова О.А., Заббарова Е.Х.;Ишимова Письмо. Различаю звонкие и глухие согласные звуки. Правильно пишу. Тетрадь-помощница(Просв.);Просвещение;978-5-09-078510-5;12; ;2021; ;ФГОС;332.2;;315.6
92;55614265;Ишимова О.А., Алипченкова Н.Н.;Ишимова Письмо. Различаю твердые и мягкие согласные звуки. Обозначаю мягкость согласных (Просв.);Просвещение;978-5-09-078516-7;20; ;2021; ;ФГОС;332.2;;315.6
93;55614268;Ишимова О.А., Подотыкина В.Д.;Ишимова Письмо. Различаю твердые и мягкие согласные звуки. Тетрадь-помощница (Просв.);Просвещение;978-5-09-078513-6;20; ;2021; ;ФГОС;332.2;;315.6
94;55611003;Ишимова О.А., Алмазова А.А.;Ишимова Развитие речи. Письмо. Тетрадь-помощница. Пособие для учащихся начальных классов(Просв.);Просвещение;978-5-09-078508-2;15; ;2021; ;ФГОС;364.7;;346.5
95;55611000;Ишимова О.А.;Ишимова Чтение. От буквы к слогу и словам.Тетрадь-помощница.Пособие для учащихся нач.классов(Просв.);Просвещение;978-5-09-078511-2;20; ;2021; ;ФГОС;291.5;;277
96;55611001;Ишимова О.А.;Ишимова Чтение. От слога к слову. Тетрадь-помощница. Пособие  для учащихся начальных классов(Просв.);Просвещение;978-5-09-078509-9;20; ;2021-2022; ;ФГОС;293.2;;278.5
97;55611004;Ишимова О.А., Сабельникова С.И.;Ишимова Чтение. Читаю и понимаю. Тетрадь-помощница. Пособие для учащихся начальных классов(Просв.);Просвещение;978-5-09-078515-0;15; ;2021; ;ФГОС;272.3;;258.7
98;55611002;Ишимова О.А.;Ишимова Чтение. Читаю словами. Тетрадь-помощница для учащихся начальных классов(Просв.);Просвещение;978-5-09-077689-9;25; ;2021; ;ФГОС;272.3;;258.7
99;55614511;Канакина В.П.;"Канакина (Школа России) Рус. язык 1 кл. Проверочные работы (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-077144-3;40; ;2021; ;ФГОС;183.7;;174.6
100;55555781;Канакина В.П.;"Канакина (Школа России) Рус. язык 1 кл. Рабочая тетрадь (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089139-4;30; ;2021; ;ФГОС;182.1;;173
101;55610296;Канакина В.П.;"Канакина (Школа России) Рус. язык 1 кл. Тетрадь учебных достижений (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089512-5;30; ;2021-2022; ;ФГОС;210.7;;200.2
102;55639982;Канакина В.П., Горецкий В.Г.;"Канакина (Школа России) Рус. язык 1 кл.(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089044-1;12; ;2021-2022;ФП;ФГОС;635.8;;635.8
103;55555785;Канакина В.П.;Канакина (Школа России) Рус. язык 2 кл. Метод.пос.с поуроч.разработками. В 2-х ч.Ч.1. ФГОС (Просв.);Просвещение;978-5-09-064561-4;24;55605432;2019; ;ФГОС;214.5;;203.8
104;55618876;Канакина В.П.;"Канакина (Школа России) Рус. язык 2 кл. Проверочные работы (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089146-2;28; ;2022; ;ФГОС;223.3;;212.2
105;55612278;Канакина В.П.;"Канакина (Школа России) Рус. язык 2 кл. Рабочая тетрадь В двух частях. Часть 1 (ФП2019 ""ИП"" (Просв.)";Просвещение;978-5-09-089144-8;30; ;2021-2022; ;ФГОС;205.2;;194.9
106;55612279;Канакина В.П.;"Канакина (Школа России) Рус. язык 2 кл. Рабочая тетрадь В двух частях. Часть 2 (ФП2019 ""ИП"" (Просв.)";Просвещение;978-5-09-089145-5;30; ;2021-2022; ;ФГОС;205.2;;194.9
107;55640422;Канакина В.П.;"Канакина (Школа России) Рус. язык 2 кл. Раздаточный материал (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090906-8;60;55576910;2022; ; ;228.3;;216.9
108;55617269;Канакина В.П.;Канакина (Школа России) Рус. язык 2 кл. Тетрадь учебных достижений (Просв.);Просвещение;978-5-09-089513-2;16; ;2022; ;ФГОС;242;;229.9
109;55639983;Канакина В.П., Горецкий В.Г.;"Канакина (Школа России) Рус. язык 2 кл. ч.1. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087579-0;12; ;2021-2022; ;ФГОС;651.8;;619.2
110;55639984;Канакина В.П., Горецкий В.Г.;"Канакина (Школа России) Рус. язык 2 кл. ч.2. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-087584-4;12; ;2021-2022;ФП;ФГОС;651.8;;651.8
111;55578516;Канакина В.П.;Канакина (Школа России) Рус. язык 3 кл.  Тетрадь учебных достижений (Просв.);Просвещение;978-5-09-089515-6;16; ;2021-2022; ;ФГОС;242;;229.9
112;55555787;Канакина В.П., Горецкий В.Г.;"Канакина (Школа России) Рус. язык 3 кл. В двух частях. Часть 1 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-088589-8;12; ;2021-2022;ФП;ФГОС;651.8;;651.8
113;55555788;Канакина В.П., Горецкий В.Г.;"Канакина (Школа России) Рус. язык 3 кл. В двух частях. Часть 2 (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-088590-4;12; ;2021-2022;ФП;ФГОС;651.8;;651.8
114;55609963;Канакина В.П.;Канакина (Школа России) Рус. язык 3 кл. Метод.пос.с поуроч.разработками. В 2-х ч.Ч.1. ФГОС (Просв.);Просвещение;978-5-09-064564-5;24; ;2019; ;ФГОС;214.5;;203.8
115;55609964;Канакина В.П.;Канакина (Школа России) Рус. язык 3 кл. Метод.пос.с поуроч.разработками. В 2-х ч.Ч.2. ФГОС (Просв.);Просвещение;978-5-09-064566-9;24; ;2019; ;ФГОС;214.5;;203.8
116;55639985;Канакина В.П., Щёголева Г.С.;"Канакина (Школа России) Рус. язык 3 кл. Проверочные работы(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089147-9;22; ;2022; ;ФГОС;222.2;;211.1
117;55613086;Канакина В.П.;"Канакина (Школа России) Рус. язык 3 кл. Рабочая тетрадь. В двух частях. Часть 1(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-089141-7;30; ;2021-2022; ;ФГОС;205.2;;194.9
118;55613087;Канакина В.П.;"Канакина (Школа России) Рус. язык 3 кл. Рабочая тетрадь. В двух частях. Часть 2(ФП2019 ""ИП) (Просв.)";Просвещение;978-5-09-089142-4;30; ;2021-2022; ;ФГОС;205.2;;194.9
119;55608336;Канакина В.П.;"Канакина (Школа России) Рус. язык 3 кл. Раздаточный материал (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-089514-9;36; ;2022; ;ФГОС;239.3;;227.3
