Название товара;Короткое описание товара;Полное описание товара;Скрыт ли товар на сайте?;Артикул;Цена продажи, без учёта скидок;Старая цена;Закупочная цена;Остаток;Ед. измерения;Изображения товара;Короткое SEO описание товара;Полное SEO описание товара;Заголовок страницы товара;Мета-тег keywords;Мета-тег description;URL переменная пути;Описание модификации товара;Идентификатор товара в магазине;Пользовательский идентификатор товара;Изображение модификации товара;Название х-ки товара №1;Значение х-ки товара №1;Название св-ва для модификации товара №1;Значение св-ва для модификации товара №1;Название св-ва для модификации товара №2;Значение св-ва для модификации товара №2
Матвеева Литературное чтение 2 кл. Тетрадь для тренировки и самопроверки ФГОС (Бином);;;1;978-5-09-088585-0;286,00;0,00;271,70;1,00000;шт;;;;Матвеева Литературное чтение 2 кл. Тетрадь для тренировки и самопроверки ФГОС (Бином);;;Matveeva-Literaturnoe-chtenie-2-kl-Tetrad-dlya-trenirovki-i-samoproverki-FGOS-Binom;;180029081;65668225;;год выпуска;2022;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева Литературное чтение 1кл. ФГОС (Бином);;;1;978-5-9963-4170-2;418,32;0,00;418,32;1,00000;шт;;;;Матвеева Литературное чтение 1кл. ФГОС (Бином);;;Matveeva-Literaturnoe-chtenie-1kl-FGOS-Binom;;180029080;55639690;;год выпуска;2018;Автор;Матвеева Е.И.;Издательство;Бином
Матвеева Литературное чтение 1 кл. Р/Т(Бином);;;1;978-5-09-090385-1;221,70;0,00;210,60;1,00000;шт;;;;Матвеева Литературное чтение 1 кл. Р/Т(Бином);;;Matveeva-Literaturnoe-chtenie-1-kl-R-T-Binom;;180029079;55639397;;год выпуска;2022;Автор;Матвеева Е.И.;Издательство;Бином
Матвеева Комплексные диагностические работы в нач.школе 4кл. ФГОС (Бином);;;1;978-5-9963-4249-5;357,50;0,00;339,70;1,00000;шт;;;;Матвеева Комплексные диагностические работы в нач.школе 4кл. ФГОС (Бином);;;Matveeva-Kompleksnye-diagnosticheskie-raboty-v-nach-shkole-4kl-FGOS-Binom;;180029078;55635397;;год выпуска;2019;Автор;Матвеева Е.И., Бахтина С.В.;Издательство;Бином
Матвеева Комплексные диагностические работы в нач.школе 3кл. ФГОС (Бином);;;1;978-5-09-091271-6;357,50;0,00;339,70;1,00000;шт;;;;Матвеева Комплексные диагностические работы в нач.школе 3кл. ФГОС (Бином);;;Matveeva-Kompleksnye-diagnosticheskie-raboty-v-nach-shkole-3kl-FGOS-Binom;;180029077;65650746;;год выпуска;2021-2022;Автор;Матвеева Е.И., Бахтина С.В.;Издательство;Бином
Матвеева Комплексные диагностические работы в нач.школе 2кл. ФГОС (Бином);;;1;978-5-09-092739-0;357,50;0,00;339,70;1,00000;шт;;;;Матвеева Комплексные диагностические работы в нач.школе 2кл. ФГОС (Бином);;;Matveeva-Kompleksnye-diagnosticheskie-raboty-v-nach-shkole-2kl-FGOS-Binom;;180029076;65681156;;год выпуска;2022;Автор;Матвеева Е.И., Бахтина С.В.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.4 класс: в 3 частях.Часть 3(Бином);;;1;978-5-09-093164-9;517,80;0,00;517,80;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.4 класс: в 3 частях.Часть 3(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-4-klass-v-3-chastyah-Chast-3-Binom;;180029075;65665317;;год выпуска;2021;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.4 класс: в 3 частях.Часть 2(Бином);;;1;978-5-09-093163-2;517,80;0,00;517,80;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.4 класс: в 3 частях.Часть 2(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-4-klass-v-3-chastyah-Chast-2-Binom;;180029074;65665316;;год выпуска;2021;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.4 класс: в 3 частях.Часть 1(Бином);;;1;978-5-09-093162-5;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.4 класс: в 3 частях.Часть 1(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-4-klass-v-3-chastyah-Chast-1-Binom;;180029073;65665315;;год выпуска;2021;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.3 класс: в 3 частях.Часть 3(Бином);;;1;978-5-09-091920-3;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.3 класс: в 3 частях.Часть 3(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-3-klass-v-3-chastyah-Chast-3-Binom;;180029072;65665314;;год выпуска;2021-2022;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.3 класс: в 3 частях.Часть 2(Бином);;;1;978-5-09-091919-7;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.3 класс: в 3 частях.Часть 2(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-3-klass-v-3-chastyah-Chast-2-Binom;;180029071;65665313;;год выпуска;2021-2022;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.3 класс: в 3 частях.Часть 1(Бином);;;1;978-5-09-091918-0;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.3 класс: в 3 частях.Часть 1(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-3-klass-v-3-chastyah-Chast-1-Binom;;180029070;65665312;;год выпуска;2021-2022;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.2 класс: в 3 частях.Часть 3(Бином);;;1;978-5-09-085581-5;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.2 класс: в 3 частях.Часть 3(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-2-klass-v-3-chastyah-Chast-3-Binom;;180029069;65665311;;год выпуска;2021;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.2 класс: в 3 частях.Часть 2(Бином);;;1;978-5-09-085580-8;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.2 класс: в 3 частях.Часть 2(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-2-klass-v-3-chastyah-Chast-2-Binom;;180029068;65665310;;год выпуска;2021;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.2 класс: в 3 частях.Часть 1(Бином);;;1;978-5-09-085578-5;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.2 класс: в 3 частях.Часть 1(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-2-klass-v-3-chastyah-Chast-1-Binom;;180029067;65665308;;год выпуска;2021;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.1 класс: в 2 частях.Часть 2(Бином);;;1;978-5-09-085577-8;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.1 класс: в 2 частях.Часть 2(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-1-klass-v-2-chastyah-Chast-2-Binom;;180029066;65665307;;год выпуска;2021;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Матвеева (Эльконин_Давыдов)Литературное чтение.1 класс: в 2 частях.Часть 1(Бином);;;1;978-5-09-085575-4;535,10;0,00;535,10;1,00000;шт;;;;Матвеева (Эльконин_Давыдов)Литературное чтение.1 класс: в 2 частях.Часть 1(Бином);;;Matveeva-Jelkonin_Davydov-Literaturnoe-chtenie-1-klass-v-2-chastyah-Chast-1-Binom;;180029065;65665306;;год выпуска;2021;Автор;Матвеева Е.И.;Издательство;Просвещение/Союз
Ломакович,Тимченко Русский язык 4 кл. ч.2 Р/Т ФГОС (Бином);;;1;978-5-09-090147-5;317,90;0,00;302,10;1,00000;шт;;;;Ломакович,Тимченко Русский язык 4 кл. ч.2 Р/Т ФГОС (Бином);;;Lomakovich-Timchenko-Russkij-yazyk-4-kl-ch-2-R-T-FGOS-Binom;;180029064;55638809;;год выпуска;2021-2022;Автор;Ломакович С.В., Тимеченко Л.И.;Издательство;Бином
